name,logP,cplx,gplx,IRSB,B_mag,V_mag,I_mag,K_mag,J_mag,H_mag,EBV,Mb,Mv,Mi,Mj,Mh,Mk,Radius_IRSB,Teq,Mass,DR3Name,RAdeg,DEdeg,Plx,RUWE,Gmag,BPmag,E(BP/RP),BP-RP,BP-G,G-RP,RV,Teff,[Fe/H],E(BP-RP),RA_ICRS,DE_ICRS,QLT,plxDR3,plxIRSB
EV Sct,0.490098,11.487847283843116,11.225259479873284,11.32,11.29,10.144,8.623,7.028,7.664,7.171,0.655,-2.802,-3.291,-3.984,-4.274,-4.532,-4.544,37.6,6063.0,6.3,Gaia DR3 4156512638614879104,279.16500634512,-8.18483389548,0.4892,1.009,9.644203,10.414589,1.283,1.62659,0.770386,0.856204,,,,,279.16500634512,-8.18483389548,3,0.5687849598822756,0.52463144
QZ Nor,0.578244,11.447720637130637,11.425521266544438,10.706,9.756,8.869,7.865,6.619,7.136,6.733,0.263,-2.063,-2.686,-3.357,-3.818,-4.127,-4.188,33.5,5705.0,3.8,Gaia DR3 5932565900081831040,242.83526242559,-54.35413510061,0.4591,1.032,8.623737,9.117518,1.245,1.170562,0.493781,0.676781,-39.51,,,,242.83526242559,-54.35413510061,3,0.5186755148291201,0.6884208
ST Tau,0.605768,10.104535599921496,10.141118674761305,10.137,9.066,8.219,7.138,5.788,6.352,5.898,0.368,-2.628,-3.107,-3.722,-4.132,-4.454,-4.49,38.1,5853.0,4.7,Gaia DR3 3346584610911570176,86.26316893008,13.57635184119,0.8812,1.351,8.051365,8.609181,1.266,1.297464,0.557817,0.739648,1.46,6099.0,-0.3466,0.6637,86.26316893008,13.57635184119,3,0.9370791286564376,0.891504
CF Cas,0.687994,12.457351372009526,12.252554504981493,12.212,12.338,11.128,9.691,7.966,8.701,8.132,0.553,-2.213,-2.869,-3.607,-4.033,-4.403,-4.459,39.3,5563.0,3.9,Gaia DR3 2011892703004353792,359.57487036665,61.2210537331,0.289,1.036,10.724333,11.468504,1.286,1.59435,0.744171,0.850179,-69.75,,,,359.57487036665,61.2210537331,3,0.3543962346567367,0.33916703
V Lac,0.697493,11.421236394149773,11.372474932442639,11.321,9.816,8.921,7.866,6.587,7.121,6.671,0.335,-2.923,-3.483,-4.113,-4.516,-4.846,-4.863,45.7,5858.0,5.3,Gaia DR3 2003938801532007808,342.15828864485,56.32153324908,0.4725,1.094,8.771336,9.305993,1.302,1.308413,0.534657,0.773755,-37.16,5731.4,-0.2824,0.5188,342.15828864485,56.32153324908,3,0.5315021351514291,0.5105427
CV Mon,0.730685,11.163478421109918,10.978800580030445,10.918,11.596,10.305,8.616,6.576,7.404,6.791,0.722,-2.377,-2.944,-3.72,-4.195,-4.549,-4.619,42.7,5470.0,4.2,Gaia DR3 3127142323596470144,99.27018871085,3.06396219477,0.5675,1.1,9.701135,10.594475,1.311,1.824931,0.89334,0.931591,9.35,4616.4,-1.4814,0.5633,99.27018871085,3.06396219477,2,0.6371473541798718,0.61207
X Lac,0.735997,11.421236394149773,11.290870634889785,11.33,9.306,8.405,7.317,6.046,6.608,6.157,0.336,-3.446,-4.011,-4.672,-5.039,-5.369,-5.413,59.3,5833.0,8.3,Gaia DR3 2004036486267748352,342.26322668964,56.4281966365,0.4966,1.01,8.115799,8.662595,1.242,1.248826,0.546796,0.70203,-27.94,5817.7,-0.1248,0.4597,342.26322668964,56.4281966365,2,0.5518561325152366,0.5057913
V Cen,0.739882,9.370155158361328,9.197433322695396,9.041,7.705,6.834,5.796,4.509,5.073,4.628,0.294,-2.58,-3.157,-3.823,-4.245,-4.585,-4.645,42.3,5706.0,4.0,Gaia DR3 5891675303053080704,218.13779279681,-56.88774644776,1.3898,1.06,6.637,7.228839,1.224,1.293163,0.591839,0.701324,-17.81,5988.6,-0.4147,0.6055,218.13779279681,-56.88774644776,3,1.4471492886272763,1.4511683
CS Vel,0.771201,12.754923255400634,12.547220228688158,12.515,13.049,11.709,10.068,8.018,8.84,8.234,0.737,-2.584,-3.192,-3.894,-4.371,-4.712,-4.78,46.0,5567.0,4.3,Gaia DR3 5308893149150949248,145.29271952315,-53.81603750378,0.2611,0.905,11.1879,12.0446,1.359,1.827692,0.856701,0.970991,31.0,,,,145.29271952315,-53.81603750378,3,0.3094253951749659,0.29177487
X Vul,0.800689,10.278820740874144,10.238056595920463,9.437,10.28,8.835,7.137,5.255,6.021,5.426,0.742,-2.297,-2.999,-3.757,-4.116,-4.445,-4.467,38.7,5756.0,2.7,Gaia DR3 2027263738133623168,299.36918285728,26.5564491634,0.8362,1.059,8.322478,9.223192,1.35,1.876393,0.900714,0.975679,-17.91,,,,299.36918285728,26.5564491634,5,0.8961664494264299,1.1991845
U Sgr,0.828997,9.042605169631322,8.923040732551554,8.881,7.786,6.69,5.426,3.954,4.587,4.093,0.402,-2.796,-3.489,-4.244,-4.673,-5.023,-5.082,53.2,5562.0,5.0,Gaia DR3 4092905375639902464,277.97220951561,-19.1250998575,1.5693,0.853,6.42923,7.129108,1.252,1.489588,0.699878,0.78971,17.54,4382.0,-0.9225,0.0018,277.97220951561,-19.1250998575,2,1.6420707059888893,1.5432099
RS Ori,0.878917,11.074775336001103,11.001908401272402,11.137,9.376,8.414,7.253,5.917,6.489,6.018,0.352,-3.251,-3.861,-4.575,-4.98,-5.325,-5.355,59.9,5687.0,5.6,Gaia DR3 3368698813404804352,95.55497028344,14.67812664531,0.5552,1.119,8.193092,8.788838,1.259,1.3455,0.595746,0.749754,43.09,5707.3,-0.1611,0.5525,95.55497028344,14.67812664531,4,0.6304030704182108,0.5423876
DL Cas,0.903126,11.27228409460741,11.049373376975083,11.647,10.121,8.968,7.575,5.949,6.651,6.101,0.488,-3.591,-4.256,-5.031,-5.456,-5.831,-5.885,64.9,5515.0,6.2,Gaia DR3 428620663657823232,7.49409611203,60.21195729734,0.5528,1.883,8.57736,9.289058,1.299,1.564116,0.711698,0.852418,-46.8,5814.4,-0.2499,0.7861,7.49409611203,60.21195729734,4,0.6167729587062334,0.5136634
GH Lup,0.967448,10.283022125831513,10.22261827152559,10.563,8.844,7.637,6.364,4.813,5.492,4.96,0.347,-3.187,-4.047,-4.881,-5.398,-5.806,-5.883,67.5,5261.0,5.6,Gaia DR3 5888819699572539264,231.15974101293,-52.85387016499,0.8408,0.95,7.213343,7.864696,1.268,1.439947,0.651353,0.788594,-17.83,,,,231.15974101293,-52.85387016499,3,0.9025605472239967,0.8390669
